editor,degree,proximity_mean,proximity_min,direct_strength_sum,direct_contact_fraction,shared_neighbours_total,jaccard_with_source_neighbourhood,min_distance_to_sources,distance_map,degree_norm,shared_neighbours_norm,jaccard_norm,priority_score,priority_rank,priority_label
Jura1,198,1.0,1.0,1.0,1.0,105,0.329153605015674,1,{'Pasleim': 1},1.0,1.0,1.0,1.0,1,very_high
Matěj Suchánek,152,1.0,1.0,0.46875,1.0,83,0.28135593220338984,1,{'Pasleim': 1},0.9428569793329773,0.7904761904761904,0.8547861178369653,0.8079041988455835,2,very_high
Pigsonthewing,94,1.0,1.0,0.625,1.0,65,0.2549019607843137,1,{'Pasleim': 1},0.8392603057719249,0.6190476190476191,0.7744164332399626,0.7994641824221164,3,very_high
ValterVB,98,1.0,1.0,0.421875,1.0,75,0.30120481927710846,1,{'Pasleim': 1},0.8482258590690749,0.7142857142857143,0.91508892713712,0.7822460785243086,4,very_high
Sjoerddebruin,63,1.0,1.0,0.328125,1.0,51,0.21428571428571427,1,{'Pasleim': 1},0.7533950292325585,0.4857142857142857,0.6510204081632652,0.6819458994208116,5,very_high
Multichill,82,1.0,1.0,0.203125,1.0,59,0.23694779116465864,1,{'Pasleim': 1},0.8099055979011544,0.5619047619047619,0.7198699560145343,0.6756444778774635,6,high
Nikki,53,1.0,1.0,0.203125,1.0,40,0.16736401673640167,1,{'Pasleim': 1},0.7164617217379947,0.38095238095238093,0.5084678222753536,0.6136415945049114,7,high
Innocent bystander,49,1.0,1.0,0.203125,1.0,39,0.1652542372881356,1,{'Pasleim': 1},0.6997316339694253,0.37142857142857144,0.5020581113801453,0.6102593571222,8,high
Edgars2007,62,1.0,1.0,0.15625,1.0,40,0.16129032258064516,1,{'Pasleim': 1},0.7499715906927692,0.38095238095238093,0.4900153609831029,0.601753091823425,9,high
Zolo,58,1.0,1.0,0.140625,1.0,41,0.16872427983539096,1,{'Pasleim': 1},0.7357118005812227,0.3904761904761905,0.5126004311189497,0.6012971212361943,10,high
Edoderoo,82,1.0,1.0,0.125,1.0,42,0.15789473684210525,1,{'Pasleim': 1},0.8099055979011544,0.4,0.47969924812030074,0.5997152047070878,11,medium
Succu,68,1.0,1.0,0.078125,1.0,45,0.18072289156626506,1,{'Pasleim': 1},0.7697473864899259,0.42857142857142855,0.5490533562822719,0.5986382406670092,12,medium
Izno,48,1.0,1.0,0.09375,1.0,40,0.17094017094017094,1,{'Pasleim': 1},0.6953398915813905,0.38095238095238093,0.5193325193325193,0.5863282227027976,13,medium
Ricordisamoa,68,1.0,1.0,0.109375,1.0,37,0.14396887159533073,1,{'Pasleim': 1},0.7697473864899259,0.3523809523809524,0.43739114322771905,0.5800464241234586,14,medium
Infovarius,46,1.0,1.0,0.140625,1.0,34,0.14285714285714285,1,{'Pasleim': 1},0.6862809202103918,0.3238095238095238,0.4340136054421769,0.5776335613166421,15,medium
GZWDer,47,1.0,1.0,0.109375,1.0,35,0.14705882352941177,1,{'Pasleim': 1},0.6908575914522,0.3333333333333333,0.44677871148459386,0.573231167387736,16,medium
XXN,43,1.0,1.0,0.125,1.0,32,0.1350210970464135,1,{'Pasleim': 1},0.6719427229367685,0.3047619047619048,0.41020695197910384,0.5668202122971299,17,medium
ChristianKl,42,1.0,1.0,0.125,1.0,32,0.13559322033898305,1,{'Pasleim': 1},0.6669451728519661,0.3047619047619048,0.4119451170298628,0.5667441512979656,18,medium
Stryn,32,1.0,1.0,0.140625,1.0,28,0.12173913043478261,1,{'Pasleim': 1},0.60940528515641,0.26666666666666666,0.36985507246376814,0.5559453548375307,19,medium
Emw,47,1.0,1.0,0.0625,1.0,32,0.13278008298755187,1,{'Pasleim': 1},0.6908575914522,0.3047619047619048,0.4033985378383719,0.5514601143088282,20,medium
Snipre,48,1.0,1.0,0.046875,1.0,33,0.13692946058091288,1,{'Pasleim': 1},0.6953398915813905,0.3142857142857143,0.416004742145821,0.5509433616507945,21,lower
Lavallen,42,1.0,1.0,0.03125,1.0,30,0.12605042016806722,1,{'Pasleim': 1},0.6669451728519661,0.2857142857142857,0.382953181272509,0.5365979339127064,22,lower
Ladsgroup,33,1.0,1.0,0.109375,1.0,24,0.10212765957446808,1,{'Pasleim': 1},0.6158948373541593,0.22857142857142856,0.310273556231003,0.534880133205094,23,lower
Magnus Manske,36,1.0,1.0,0.0625,1.0,27,0.1148936170212766,1,{'Pasleim': 1},0.6342762482902229,0.2571428571428571,0.34905775075987844,0.5336731589190704,24,lower
Jc3s5h,31,1.0,1.0,0.0625,1.0,23,0.09829059829059829,1,{'Pasleim': 1},0.6027160233860468,0.21904761904761905,0.2986161986161986,0.519431944840446,25,lower
